SeqOrder,sourceID,timediff,PTAB,BodyGroup_from,BodyGroup_to
2,6,10.0,-100,6,6
3,4,15.000000000000002,-1495150,6,6
4,5,24.0,-1495150,6,6
5,5,32.0,-1495150,6,6
6,5,36.0,-1495150,6,6
7,4,145.0,1750,6,6
8,5,146.0,1750,6,6
9,5,154.0,1750,6,6
10,4,154.0,-300,6,6
11,5,156.0,-300,6,6
12,1,172.0,-300,6,6
13,4,196.0,200,6,6
14,7,203.0,200,6,6
15,5,205.0,200,6,6
16,13,216.0,200,6,6
17,9,217.0,200,6,6
0,10,232.00000000000003,200,6,6
1,11,0.0,200,6,6
2,6,22.0,200,6,6
3,4,27.0,-1495100,6,6
4,5,36.0,-1495100,6,6
5,5,37.0,-1495100,6,6
6,5,40.0,-1495100,6,6
7,5,45.0,-1495100,6,6
8,4,992.0,500,6,6
9,5,993.0,500,6,6
10,5,1001.0,500,6,6
11,4,1001.0,250,6,6
12,5,1002.0,250,6,6
13,1,1029.0,250,6,6
14,4,1030.0,-150,6,6
15,7,1037.0,-150,6,6
16,5,1039.0,-150,6,6
17,13,1053.0,-150,6,6
18,9,1053.0,-150,6,6
19,2,1068.0,-150,6,6
0,10,1068.0,-150,6,6
1,11,0.0,-150,9,9
2,4,90.0,-1294150,9,9
3,5,98.0,-1294150,9,9
4,6,126.0,-1294150,9,9
5,5,148.0,-1294150,9,9
6,1,192.0,-1294150,9,9
7,1,201.0,-1294150,9,9
8,4,246.00000000000003,250,9,9
9,5,248.00000000000003,250,9,9
10,5,258.0,250,9,9
11,4,310.0,150,9,9
12,5,317.0,150,9,9
13,7,320.0,150,9,9
14,13,353.0,150,9,9
15,9,354.0,150,9,9
16,4,360.0,-1182200,9,9
17,5,362.0,-1182200,9,9
18,2,375.0,-1182200,9,9
0,10,375.0,-1182200,9,9
1,11,0.0,-1182200,9,9
2,6,83.0,-1182200,9,9
3,4,90.0,-1266050,9,9
4,5,98.0,-1266050,9,9
5,5,116.0,-1266050,9,9
6,1,135.0,-1266050,9,9
7,1,140.0,-1266050,9,9
8,4,201.0,500,9,9
9,5,202.0,500,9,9
10,5,215.0,500,9,9
11,4,241.00000000000003,100,9,9
12,5,248.00000000000003,100,9,9
13,7,253.00000000000003,100,9,9
14,13,291.0,100,9,9
15,9,292.0,100,9,9
16,4,297.0,-1182150,9,9
17,5,299.0,-1182150,9,9
18,2,312.0,-1182150,9,9
0,10,312.0,-1182150,9,9
1,11,0.0,-1182150,9,8
2,4,48.0,-1246050,9,8
3,5,55.0,-1246050,9,8
4,6,61.00000000000001,-1246050,9,8
5,5,88.0,-1246050,9,8
6,1,1700.0,-1246050,9,8
7,5,1737.0,-1246050,9,8
8,4,1737.0,450,9,8
9,5,1738.0,450,9,8
10,1,1915.0,450,9,8
11,4,1979.0,0,9,8
12,5,1989.0,0,9,8
13,7,1991.0,0,9,8
14,13,2009.0,0,9,8
15,9,2009.0,0,9,8
16,4,2013.0,-1707150,9,8
17,5,2015.0,-1707150,9,8
0,10,2029.0,-1707150,9,8
1,11,0.0,-1707150,8,7
2,4,6.0,-1663150,8,7
3,6,10.0,-1663150,8,7
4,5,16.0,-1663150,8,7
5,1,23.0,-1663150,8,7
6,5,49.0,-1663150,8,7
7,1,77.0,-1663150,8,7
8,1,183.0,-1663150,8,7
9,1,191.0,-1663150,8,7
10,4,192.0,250,8,7
11,5,194.0,250,8,7
12,5,206.0,250,8,7
13,4,232.00000000000003,-50,8,7
14,5,239.00000000000003,-50,8,7
15,7,243.00000000000003,-50,8,7
16,13,322.0,-50,8,7
17,9,323.0,-50,8,7
0,10,339.0,-50,8,7
1,11,0.0,-50,7,7
2,6,37.0,-50,7,7
3,4,42.0,-1039850,7,7
4,5,49.0,-1039850,7,7
5,5,65.0,-1039850,7,7
6,4,105.0,500,7,7
7,5,105.0,500,7,7
8,5,115.0,500,7,7
9,4,116.0,550,7,7
10,5,116.0,550,7,7
11,5,117.0,550,7,7
12,1,126.0,550,7,7
13,4,137.0,50,7,7
14,5,143.0,50,7,7
15,13,158.0,50,7,7
16,9,159.0,50,7,7
17,7,160.0,50,7,7
18,2,174.0,50,7,7
0,10,174.0,50,7,7
1,11,0.0,50,7,7
2,4,113.0,-1040100,7,7
3,6,115.0,-1040100,7,7
4,5,119.0,-1040100,7,7
5,5,150.0,-1040100,7,7
6,5,174.0,-1040100,7,7
7,4,194.0,600,7,7
8,5,195.0,600,7,7
9,5,206.0,600,7,7
10,4,206.0,-750,7,7
11,5,207.0,-750,7,7
12,1,222.0,-750,7,7
13,4,246.00000000000003,50,7,7
14,5,253.00000000000003,50,7,7
15,7,262.0,50,7,7
16,13,280.0,50,7,7
17,9,280.0,50,7,7
18,2,308.0,50,7,7
0,10,308.0,50,7,7
1,11,0.0,50,7,1
2,6,7.0,50,7,1
3,4,14.0,-1040050,7,1
4,5,21.0,-1040050,7,1
5,5,42.0,-1040050,7,1
6,1,55.0,-1040050,7,1
7,1,56.0,-1040050,7,1
8,4,109.0,250,7,1
9,5,109.0,250,7,1
10,13,115.0,250,7,1
11,9,116.0,250,7,1
12,5,120.0,250,7,1
13,1,142.0,250,7,1
14,4,200.0,50,7,1
15,5,209.0,50,7,1
16,7,211.0,50,7,1
17,4,214.0,-1424150,7,1
18,5,214.0,-1424150,7,1
0,10,228.0,-1424150,7,1
1,11,0.0,-1424150,1,1
2,6,61.00000000000001,-1424150,1,1
3,4,67.0,-1481150,1,1
4,5,75.0,-1481150,1,1
5,13,91.0,-1481150,1,1
6,9,92.0,-1481150,1,1
7,5,106.0,-1481150,1,1
8,5,148.0,-1481150,1,1
9,4,148.0,400,1,1
10,5,149.0,400,1,1
11,1,195.0,400,1,1
12,1,197.0,400,1,1
13,4,334.0,100,1,1
14,5,339.0,100,1,1
15,4,340.0,-674800,1,1
16,5,341.0,-674800,1,1
17,8,341.0,-674800,1,1
